SKU,Description,QOH,old_retail,new_retail,unit,img
ZZ004992050003,1 X 6 FLAT GRAIN CLR FIR,60,2.17,2.17,L/F,
ZZ004928055001,4X6 DF #2 S4S LS,11/12',3.59,3.23,L/F,
ZZ004734831001,1 X 12 X 12' TREX SEL SQ W-B,2,121.99,102.99,EA,
ZZ004710059001,8 X 8 #1 DF RGH  1/8',8,16.68,14.30,L/F,
ZZ004564148001,1 X 6 C & BTR T&G DF V GROOVE,472,3.07,2.66,L/F,
ZZ004429344001,3/4 x 3 1/2CON HEART RW T&G,118,7.09,6.17,L/F,
ZZ004394094003,2X10 PRIMED VINTAGE FJ,20,6.99,5.25,L/F,
ZZ004394094001,2X8 PRIMED VINTAGE FJ,100,5.99,4.52,L/F,
ZZ004382483001,4X4 IPE,192,21.99,18.85,L/F,
ZZ004355270003,6X6X8' RESAWN RDWD LNSC TMBR,110,88.99,71.04,L/F,
ZZ004355270001,6X8X8' RESAWN RDWD LNDSCP TMBR,16,117.99,94.72,L/F,
ZZ004354329001,5.25X 9.5 PSL,12,36.99,31.39,L/F,
ZZ004329818020,6 X 12 TREATED DF CAC CD .1,56,17.99,14.88,L/F,
ZZ004302208001,2X4 IPE S4S,8,8.925,7.80,L/F,
ZZ004277982001,3X10DF#2 BROWN TREATED CAC .15,100,7.19,6.15,L/F,
ZZ004226964001,"7-1/4"" IRISH L.LANDS HRDI SHAK",234/12',30.99,30.99,EA,
ZZ004188109001,1X4X16' KD CLEAR RWD T&G,3,39.9,31.92,EA,
ZZ004174049001,6X12 TREATED DF CAC.15 GC,20,26.99,23.01,L/F,
ZZ004151764005,2 X 12 ROUGH CEDAR,28,12.99,11.15,L/F,
ZZ004130456004,2X4 SELECT DF,8,2.19,1.82,L/F,
ZZ004130456002,2X6 SELECT DF 1/16',1,2.99,2.45,L/F,
ZZ004130025003,6X6 S4S STK WRC,18,26.99,23.32,L/F,
ZZ004079815001,2 X 14 DF#1 S4S .15 CA TREATED,96,13.99,10.67,L/F,
